YEAR	MONTH	POS	PKG_SA	MER_AGN	x	ONLINE_OFFLN_IND	DEST_AIRPT_IATA_REGN_NAME	DOM_INTL_IND	REV_ADJ_FACTR_%	REV_ADJ_FACTR_UNIT	COS_ADJ_FACTR_%	COS_ADJ_FACTR_UNIT	VCOS_ADJ_FACTR_%	VCOS_ADJ_FACTR_UNIT	MESOLOY_ADJ_FACTR_%	MESOLOY_ADJ_FACTR_UNIT	MESO_ADJ_FACTR_%	MESO_ADJ_FACTR_UNIT	LOYALTY_ADJ_FACTR_%	LOYALTY_ADJ_FACTR_UNIT	OTHER_ADJ_FACTR_%	OTHER_ADJ_FACTR_UNIT	BEC_ADJ_FACTR_UNIT
2017	11	Airasiago CN	Standalone	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Standalone	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Standalone	Merchant	DestSvc	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Standalone	Merchant	DestSvc	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Standalone	Merchant	Insurance	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Standalone	Merchant	Insurance	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Standalone	Merchant	Lodging	Offline	NA	NA	0.013588	0	0.062548	0	0	0	0	0	0	0	0	0	0.012619	0	0
2017	11	Airasiago CN	Standalone	Merchant	Lodging	Online	NA	NA	0.013588	0	0.062548	0	0	0	0	0	0	0	0	0	0.012619	0	0
2017	12	Airasiago CN	Package	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Package	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Package	Merchant	DestSvc	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Package	Merchant	DestSvc	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Package	Merchant	Insurance	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Package	Merchant	Insurance	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Package	Merchant	Lodging	Offline	NA	NA	0.01889	0	0.013467	0	0	0	0	0	0	0	0	0	0.01279	0	0
2017	12	Airasiago CN	Package	Merchant	Lodging	Online	NA	NA	0.01889	0	0.013467	0	0	0	0	0	0	0	0	0	0.01279	0	0
2017	12	Airasiago CN	Standalone	Agency	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Standalone	Agency	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Standalone	Agency	Cruise	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Standalone	Agency	Cruise	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Standalone	Agency	Lodging	Offline	NA	NA	0	0	0.017551	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Standalone	Agency	Lodging	Online	NA	NA	0	0	0.017551	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Standalone	Direct Agency	Lodging	Offline	NA	NA	-0.000965	0	0.017551	0	0	0	0	0	0	0	0	0	-0.000965	0	0
2017	12	Airasiago CN	Standalone	Direct Agency	Lodging	Online	NA	NA	-0.000965	0	0.017551	0	0	0	0	0	0	0	0	0	-0.000965	0	0
2017	12	Airasiago CN	Standalone	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Standalone	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Standalone	Merchant	DestSvc	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Standalone	Merchant	DestSvc	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Standalone	Merchant	Insurance	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Standalone	Merchant	Insurance	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago CN	Standalone	Merchant	Lodging	Offline	NA	NA	0.013555	0	0.04959	0	0	0	0	0	0	0	0	0	0.012586	0	0
2017	12	Airasiago CN	Standalone	Merchant	Lodging	Online	NA	NA	0.013555	0	0.04959	0	0	0	0	0	0	0	0	0	0.012586	0	0
2017	10	Airasiago HK	Package	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago HK	Package	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago HK	Package	Merchant	DestSvc	Offline	NA	NA	0.007329	0	0.009945	0	0	0	0	0	0	0	0	0	0.007329	0	0
2017	10	Airasiago HK	Package	Merchant	DestSvc	Online	NA	NA	0.007329	0	0.009945	0	0	0	0	0	0	0	0	0	0.007329	0	0
2017	10	Airasiago HK	Package	Merchant	Insurance	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago HK	Package	Merchant	Insurance	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago HK	Package	Merchant	Lodging	Offline	NA	NA	0.019602	0	0.010503	0	0	0	0	0	0	0	0	0	0.018426	0	0
2017	10	Airasiago HK	Package	Merchant	Lodging	Online	NA	NA	0.019602	0	0.010503	0	0	0	0	0	0	0	0	0	0.018426	0	0
2017	10	Airasiago HK	Standalone	Agency	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago HK	Standalone	Agency	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago HK	Standalone	Agency	Cruise	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago HK	Standalone	Agency	Cruise	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago HK	Standalone	Agency	Lodging	Offline	NA	NA	0	0	0.007014	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago HK	Standalone	Agency	Lodging	Online	NA	NA	0	0	0.007014	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago HK	Standalone	Direct Agency	Lodging	Offline	NA	NA	-0.016885	0	0.007014	0	0	0	0	0	0	0	0	0	-0.016885	0	0
2017	10	Airasiago HK	Standalone	Direct Agency	Lodging	Online	NA	NA	-0.016885	0	0.007014	0	0	0	0	0	0	0	0	0	-0.016885	0	0
2017	10	Airasiago HK	Standalone	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago HK	Standalone	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago HK	Standalone	Merchant	DestSvc	Offline	NA	NA	-0.030176	0	0.042653	0	0	0	0	0	0	0	0	0	-0.030176	0	0
2017	10	Airasiago HK	Standalone	Merchant	DestSvc	Online	NA	NA	-0.030176	0	0.042653	0	0	0	0	0	0	0	0	0	-0.030176	0	0
2017	10	Airasiago HK	Standalone	Merchant	Insurance	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago HK	Standalone	Merchant	Insurance	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago HK	Standalone	Merchant	Lodging	Offline	NA	NA	0.03283	0	0.041652	0	0	0	0	0	0	0	0	0	0.028794	0	0
2017	10	Airasiago HK	Standalone	Merchant	Lodging	Online	NA	NA	0.03283	0	0.041652	0	0	0	0	0	0	0	0	0	0.028794	0	0
2017	11	Airasiago HK	Package	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago HK	Package	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
