Account, Point of Sale,   Business Type,   Product,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712
Revenue % of GB,Airasiago ID,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago ID,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago ID,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago MY,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago MY,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago MY,Agency,Flight,-0.045617%,-0.045617%,4.819726%,-0.045589%,-0.045591%,5.283494%,-0.045591%,-0.045591%,4.705688%,-0.045594%,-0.045593%,5.158462%
GP % of GB,Airasiago MY,Agency,Flight,-2.018611%,-2.018611%,2.846732%,-2.018583%,-2.018585%,3.310500%,-2.018585%,-2.018585%,2.732694%,-2.018588%,-2.018586%,3.185468%
Revenue % of GB,Airasiago MY,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago MY,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago MY,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago MY,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago MY,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago MY,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
