Account, Point of Sale,   Business Type,   Product,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712
GP % of GB,Airasiago SG,Merchant,Tshop,17.212244%,14.373752%,13.352759%,16.777424%,14.875999%,15.427797%,14.751661%,13.140365%,11.670773%,11.891948%,12.591669%,13.953786%
Revenue % of GB,Airasiago SG,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago SG,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago SG,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago SG,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago TH,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago TH,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago TH,Agency,Flight,-0.018446%,-0.018446%,5.072746%,-0.018444%,-0.018443%,7.255007%,-0.018443%,-0.018443%,4.834393%,-0.018443%,-0.018443%,5.871472%
GP % of GB,Airasiago TH,Agency,Flight,-1.959489%,-1.959489%,3.131704%,-1.959486%,-1.959486%,5.313964%,-1.959486%,-1.959486%,2.893350%,-1.959486%,-1.959486%,3.930429%
Revenue % of GB,Airasiago TH,Merchant,Flight,-98.524993%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago TH,Merchant,Flight,-98.524993%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago TH,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago TH,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago TH,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago TH,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago TH,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago TH,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago TH,Merchant,Hotel,14.674319%,13.999958%,14.990705%,15.050184%,14.798997%,14.853866%,14.971537%,14.682924%,14.651814%,14.549402%,14.578276%,14.433101%
GP % of GB,Airasiago TH,Merchant,Hotel,11.182392%,10.508030%,11.498777%,11.558256%,11.307069%,11.361938%,11.479609%,11.190996%,11.159886%,11.057474%,11.086348%,10.941173%
Revenue % of GB,Airasiago TH,Agency,Hotel,23.727140%,24.484435%,20.473201%,19.865101%,19.688883%,19.752617%,18.850650%,20.831437%,19.592416%,19.414464%,18.734843%,19.531761%
GP % of GB,Airasiago TH,Agency,Hotel,21.946163%,22.703457%,18.692224%,18.084124%,17.907906%,17.971640%,17.069673%,19.050460%,17.811439%,17.633487%,16.953866%,17.750784%
Revenue % of GB,Airasiago TH,Not Applicable,EPackage,4.381462%,4.629814%,4.979982%,4.722861%,4.766612%,5.387095%,5.164901%,4.954672%,5.423553%,4.797620%,4.685120%,5.165307%
GP % of GB,Airasiago TH,Not Applicable,EPackage,2.786551%,3.034903%,3.385071%,3.127950%,3.171701%,3.792184%,3.569990%,3.359761%,3.828642%,3.202709%,3.090209%,3.570396%
Revenue % of GB,Airasiago TH,Merchant,Tshop,16.219567%,12.943822%,15.461443%,16.286189%,16.844413%,16.208197%,15.385240%,15.280681%,15.403591%,15.717870%,15.020757%,14.574176%
GP % of GB,Airasiago TH,Merchant,Tshop,13.708376%,10.432631%,12.950252%,13.774998%,14.333222%,13.697006%,12.874048%,12.769490%,12.892400%,13.206679%,12.509566%,12.062985%
Revenue % of GB,Airasiago TH,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago TH,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago TH,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago TH,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago JP,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago JP,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago JP,Agency,Flight,-0.019272%,-0.019272%,1.419235%,1.419235%,1.419235%,1.419235%,1.419235%,1.419235%,1.419235%,1.419235%,1.419235%,1.419235%
GP % of GB,Airasiago JP,Agency,Flight,-0.413625%,-0.413625%,1.024883%,1.024883%,1.024883%,1.024883%,1.024883%,1.024883%,1.024883%,1.024883%,1.024883%,1.024883%
Revenue % of GB,Airasiago JP,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago JP,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago JP,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago JP,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago JP,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago JP,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago JP,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago JP,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago JP,Merchant,Hotel,13.829852%,15.308019%,15.084567%,14.957087%,14.970131%,14.965371%,14.954073%,14.932936%,14.908385%,14.862329%,14.937470%,14.768340%
GP % of GB,Airasiago JP,Merchant,Hotel,12.058159%,13.536326%,13.312874%,13.185394%,13.198438%,13.193678%,13.182380%,13.161243%,13.136692%,13.090636%,13.165777%,12.996647%
Revenue % of GB,Airasiago JP,Agency,Hotel,5.118292%,1.349308%,14.684146%,14.633159%,14.601696%,15.080740%,14.499065%,14.679443%,15.093317%,14.573814%,14.851130%,14.847013%
GP % of GB,Airasiago JP,Agency,Hotel,5.026508%,1.257523%,14.592361%,14.541374%,14.509911%,14.988955%,14.407280%,14.587658%,15.001532%,14.482029%,14.759345%,14.755228%
Revenue % of GB,Airasiago JP,Not Applicable,EPackage,4.108024%,5.829910%,2.991452%,2.940464%,4.714437%,2.811854%,2.940887%,3.048866%,2.932643%,3.008153%,2.901332%,2.889075%
GP % of GB,Airasiago JP,Not Applicable,EPackage,3.407855%,5.129741%,2.291283%,2.240295%,4.014268%,2.111684%,2.240718%,2.348697%,2.232474%,2.307984%,2.201163%,2.188906%
Revenue % of GB,Airasiago JP,Merchant,Tshop,30.203291%,25.801414%,0.000000%,0.000000%,0.000000%,19.479759%,19.470047%,19.470047%,17.807592%,17.864629%,18.108994%,17.825321%
GP % of GB,Airasiago JP,Merchant,Tshop,27.841857%,23.439980%,-2.361435%,-2.361435%,-2.361435%,17.118324%,17.108612%,17.108612%,15.446157%,15.503194%,15.747559%,15.463886%
Revenue % of GB,Airasiago JP,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Airasiago JP,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago JP,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Airasiago JP,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AU,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia AU,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AU,Agency,Flight,2.854403%,2.114050%,2.454417%,2.338130%,2.310626%,2.461384%,2.162819%,2.490379%,2.503183%,2.204470%,2.340611%,2.763215%
GP % of GB,Expedia AU,Agency,Flight,1.850959%,1.114282%,1.658571%,1.506591%,1.471530%,1.619107%,1.305470%,1.622609%,1.643559%,1.308115%,1.448245%,1.770723%
Revenue % of GB,Expedia AU,Merchant,Flight,5.794438%,4.600596%,5.614116%,5.532600%,6.128506%,6.529967%,5.693876%,6.313385%,6.503242%,6.638674%,6.581205%,6.600460%
GP % of GB,Expedia AU,Merchant,Flight,3.448372%,2.608087%,3.542342%,3.301210%,4.027047%,4.344757%,3.414149%,4.203316%,4.242114%,4.399083%,4.509781%,4.223041%
Revenue % of GB,Expedia AU,Agency,Car,12.254851%,12.254851%,12.254851%,12.254851%,12.254851%,12.254851%,12.254851%,12.254851%,12.254851%,12.254851%,12.254851%,12.254851%
GP % of GB,Expedia AU,Agency,Car,11.949653%,11.973979%,12.001336%,12.004500%,11.994884%,12.008500%,12.001168%,11.987293%,11.988092%,11.966964%,11.989587%,12.009084%
Revenue % of GB,Expedia AU,Merchant,Car,15.307853%,15.168084%,15.339335%,15.309335%,15.309335%,15.199335%,15.269335%,15.259335%,15.219335%,15.259335%,15.179335%,15.259335%
GP % of GB,Expedia AU,Merchant,Car,13.357666%,13.554983%,13.501014%,13.436984%,13.523974%,13.336376%,13.311047%,13.451870%,13.294670%,13.349191%,13.404131%,13.234488%
Revenue % of GB,Expedia AU,Agency,Cruise,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%
GP % of GB,Expedia AU,Agency,Cruise,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%,6.246520%
Revenue % of GB,Expedia AU,Merchant,Hotel,15.624799%,15.505799%,15.601916%,15.543023%,15.549974%,15.445789%,15.362776%,15.262974%,15.146264%,15.107609%,15.020807%,14.993214%
GP % of GB,Expedia AU,Merchant,Hotel,14.447637%,14.216979%,14.119446%,14.024870%,14.159756%,13.962460%,14.059921%,13.850344%,13.782172%,13.841484%,13.523803%,13.333968%
Revenue % of GB,Expedia AU,Agency,Hotel,11.566204%,8.616254%,14.920732%,14.847288%,14.822711%,14.701614%,14.656448%,14.532988%,14.449159%,14.416119%,14.371688%,14.329630%
GP % of GB,Expedia AU,Agency,Hotel,10.914025%,8.003823%,14.334511%,14.137812%,14.207687%,14.044648%,14.030363%,13.933270%,13.781035%,13.752664%,13.739991%,13.537507%
Revenue % of GB,Expedia AU,Not Applicable,EPackage,8.179948%,7.765153%,8.039990%,8.128387%,8.082726%,7.975622%,8.048830%,8.037369%,7.893027%,8.043025%,8.008278%,7.974247%
GP % of GB,Expedia AU,Not Applicable,EPackage,6.966820%,6.476751%,6.780960%,6.787612%,6.828967%,6.714665%,6.859309%,6.820434%,6.708438%,6.894733%,6.750747%,6.605046%
Revenue % of GB,Expedia AU,Merchant,Tshop,18.079648%,16.966919%,16.798325%,16.692273%,16.613129%,16.980163%,16.390262%,16.236960%,16.060880%,16.166918%,16.146140%,16.068537%
GP % of GB,Expedia AU,Merchant,Tshop,16.089825%,15.321936%,14.965174%,14.702176%,14.746139%,14.886766%,14.349573%,14.351014%,14.051649%,14.113013%,14.267304%,13.932144%
Revenue % of GB,Expedia AU,Not Applicable,Insurance,39.899949%,56.444398%,39.243637%,39.246755%,39.245810%,39.246674%,39.246165%,39.245373%,39.246141%,39.246963%,39.247382%,39.253059%
Revenue % of GB,Expedia AU,Merchant,Insurance,39.899949%,56.444398%,39.243637%,39.246755%,39.245810%,39.246674%,39.246165%,39.245373%,39.246141%,39.246963%,39.247382%,39.253059%
GP % of GB,Expedia AU,Not Applicable,Insurance,37.567888%,54.419739%,37.175344%,37.003457%,37.104686%,37.016488%,36.923177%,37.060220%,36.975222%,36.967409%,37.111354%,36.806532%
GP % of GB,Expedia AU,Merchant,Insurance,37.567888%,54.419739%,37.175344%,37.003457%,37.104686%,37.016488%,36.923177%,37.060220%,36.975222%,36.967409%,37.111354%,36.806532%
Revenue % of GB,Expedia NZ,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia NZ,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia NZ,Agency,Flight,2.568580%,2.018195%,2.407136%,1.913062%,2.115997%,2.596004%,2.385157%,2.144702%,2.300322%,1.904379%,2.116198%,2.585460%
GP % of GB,Expedia NZ,Agency,Flight,1.543806%,0.901292%,1.241227%,0.805433%,1.106335%,1.527829%,1.344572%,1.039574%,1.274419%,0.751133%,0.969310%,1.320625%
Revenue % of GB,Expedia NZ,Merchant,Flight,5.913139%,5.963616%,5.865975%,5.937838%,5.891168%,5.927492%,5.882360%,5.936938%,5.872525%,5.951334%,5.991620%,6.018218%
GP % of GB,Expedia NZ,Merchant,Flight,2.576942%,2.645233%,2.943990%,2.909761%,2.909114%,2.906037%,2.923977%,2.920479%,2.904521%,2.930882%,2.944248%,2.879169%
Revenue % of GB,Expedia NZ,Agency,Car,9.367943%,9.367943%,9.367943%,9.367943%,9.367943%,9.367943%,9.367943%,9.367943%,9.367943%,9.367943%,9.367943%,9.367943%
GP % of GB,Expedia NZ,Agency,Car,9.023824%,8.982314%,9.062860%,9.057913%,9.058368%,9.086557%,9.087551%,9.048898%,9.049957%,8.970641%,9.008127%,8.989184%
Revenue % of GB,Expedia NZ,Merchant,Car,14.736544%,14.716394%,14.587251%,14.707251%,14.867251%,14.897251%,14.877251%,14.917251%,14.877251%,14.857251%,14.897251%,14.887251%
GP % of GB,Expedia NZ,Merchant,Car,11.770598%,11.891672%,12.042172%,12.146028%,12.299214%,12.331549%,12.389999%,12.372408%,12.343358%,12.274251%,12.283243%,12.277457%
Revenue % of GB,Expedia NZ,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia NZ,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia NZ,Merchant,Hotel,15.742915%,15.775961%,15.669003%,15.638271%,15.686602%,15.547264%,15.453566%,15.378930%,15.289529%,15.230841%,15.138696%,15.215648%
GP % of GB,Expedia NZ,Merchant,Hotel,13.347214%,13.193717%,13.457971%,13.410572%,13.514436%,13.329885%,13.731592%,13.348867%,13.381914%,13.419979%,12.929745%,12.827152%
Revenue % of GB,Expedia NZ,Agency,Hotel,13.704681%,8.886942%,15.037237%,15.036784%,15.413757%,15.260570%,15.459719%,15.387011%,15.743498%,14.534757%,14.620135%,14.540144%
GP % of GB,Expedia NZ,Agency,Hotel,12.764895%,8.134081%,14.404477%,14.332578%,14.759959%,14.604231%,14.757641%,14.677474%,14.959819%,13.718270%,13.746626%,13.571224%
Revenue % of GB,Expedia NZ,Not Applicable,EPackage,7.770095%,7.674225%,7.608376%,7.535289%,7.191319%,7.419377%,7.560324%,7.366293%,7.356527%,7.419570%,7.208737%,7.274492%
GP % of GB,Expedia NZ,Not Applicable,EPackage,5.693815%,5.426585%,5.749424%,5.680349%,5.367580%,5.616025%,5.948523%,5.562253%,5.604112%,5.582538%,5.226726%,5.220854%
Revenue % of GB,Expedia NZ,Merchant,Tshop,18.595878%,17.492788%,18.340673%,18.124742%,17.957493%,17.866829%,17.659078%,17.479806%,17.284140%,17.356686%,17.250012%,17.168054%
GP % of GB,Expedia NZ,Merchant,Tshop,15.590749%,14.517201%,15.679185%,15.324853%,15.190141%,15.080322%,14.974881%,14.768814%,14.606447%,14.645131%,14.489358%,14.320472%
Revenue % of GB,Expedia NZ,Not Applicable,Insurance,69.487023%,41.486799%,35.796400%,35.609574%,35.964707%,35.729158%,35.860561%,35.728229%,35.841413%,35.570066%,35.527030%,34.925962%
Revenue % of GB,Expedia NZ,Merchant,Insurance,69.487023%,41.486799%,35.796400%,35.609574%,35.964707%,35.729158%,35.860561%,35.728229%,35.841413%,35.570066%,35.527030%,34.925962%
GP % of GB,Expedia NZ,Not Applicable,Insurance,66.202181%,38.036856%,32.835969%,32.493945%,32.902409%,32.620386%,32.815372%,32.615222%,32.789960%,32.436480%,32.387168%,31.691945%
GP % of GB,Expedia NZ,Merchant,Insurance,66.202181%,38.036856%,32.835969%,32.493945%,32.902409%,32.620386%,32.815372%,32.615222%,32.789960%,32.436480%,32.387168%,31.691945%
Revenue % of GB,Expedia CA,Not Applicable,3P Package,5.512174%,5.219617%,6.081976%,6.401712%,4.798127%,5.090042%,4.967396%,5.425052%,5.441733%,3.936788%,7.359231%,7.345354%
GP % of GB,Expedia CA,Not Applicable,3P Package,4.939806%,4.741010%,5.031832%,4.927417%,2.996503%,3.531424%,3.725693%,4.047386%,4.364995%,3.216406%,6.744296%,6.755735%
Revenue % of GB,Expedia CA,Agency,Flight,3.718937%,2.793292%,3.012387%,3.022173%,2.988223%,3.091563%,3.058708%,2.983438%,3.080816%,3.084010%,3.048251%,3.070260%
GP % of GB,Expedia CA,Agency,Flight,2.592858%,1.734264%,2.066392%,1.985657%,1.923211%,2.018612%,1.968219%,1.878171%,2.014284%,2.080321%,1.980883%,1.787345%
Revenue % of GB,Expedia CA,Merchant,Flight,9.879672%,9.372390%,9.938984%,9.727905%,9.767280%,9.815918%,9.534803%,9.533886%,9.462264%,9.466751%,9.480218%,9.640520%
GP % of GB,Expedia CA,Merchant,Flight,7.831910%,7.156485%,7.552482%,7.218030%,7.109054%,7.315784%,6.691139%,6.649675%,6.604772%,6.651013%,6.765762%,6.306751%
Revenue % of GB,Expedia CA,Agency,Car,9.713425%,11.972092%,14.064386%,14.064386%,14.064386%,14.064386%,14.064386%,14.064386%,14.064386%,14.064386%,14.064386%,14.064386%
GP % of GB,Expedia CA,Agency,Car,7.805119%,10.032686%,12.423773%,12.375916%,12.531414%,12.727332%,12.613415%,12.320006%,12.055373%,12.031302%,12.067996%,12.007269%
Revenue % of GB,Expedia CA,Merchant,Car,15.858652%,15.369249%,16.068198%,15.168198%,15.228198%,15.888198%,16.668198%,16.638198%,15.908198%,15.198198%,14.348198%,15.958198%
GP % of GB,Expedia CA,Merchant,Car,13.036218%,12.315139%,12.987449%,11.778406%,11.674656%,12.649809%,13.013243%,12.729235%,12.146298%,11.577697%,10.626916%,11.651185%
Revenue % of GB,Expedia CA,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia CA,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia CA,Merchant,Hotel,17.361783%,17.375793%,17.269454%,17.169925%,17.101994%,17.017797%,16.937276%,16.889876%,16.911661%,16.827016%,16.813353%,16.795567%
GP % of GB,Expedia CA,Merchant,Hotel,15.623367%,15.452051%,15.303474%,15.070177%,15.128304%,15.083583%,14.818059%,14.862514%,14.777638%,14.751074%,14.660321%,14.080415%
Revenue % of GB,Expedia CA,Agency,Hotel,7.349389%,10.743333%,15.479149%,15.459149%,15.439149%,15.419149%,15.399149%,15.379149%,15.359149%,15.339149%,15.319149%,15.299149%
GP % of GB,Expedia CA,Agency,Hotel,6.361566%,9.607671%,14.549183%,14.501673%,14.513303%,14.538618%,14.478483%,14.477769%,14.327216%,14.296466%,14.312024%,14.043278%
Revenue % of GB,Expedia CA,Not Applicable,EPackage,10.665283%,10.084978%,9.885619%,9.788088%,9.854322%,9.993516%,10.034718%,9.912630%,10.062692%,10.216623%,10.068678%,10.189216%
GP % of GB,Expedia CA,Not Applicable,EPackage,9.146167%,8.423013%,8.178593%,7.925248%,7.907908%,8.096907%,7.963310%,7.940850%,8.061360%,8.267715%,8.120066%,7.788572%
Revenue % of GB,Expedia CA,Merchant,Tshop,19.315548%,17.820103%,16.230831%,15.827375%,15.415966%,15.124239%,14.766808%,14.567741%,14.540042%,15.028405%,15.313070%,15.398212%
GP % of GB,Expedia CA,Merchant,Tshop,15.242322%,13.710297%,12.165101%,11.967436%,11.549811%,11.516159%,10.954609%,10.812002%,10.629170%,10.246367%,10.478216%,10.302819%
Revenue % of GB,Expedia CA,Not Applicable,Insurance,48.093253%,48.530702%,44.081635%,49.654558%,48.151672%,48.207651%,47.607648%,47.966352%,48.495060%,49.983707%,50.075540%,48.996763%
Revenue % of GB,Expedia CA,Merchant,Insurance,48.093253%,48.530702%,44.081635%,49.654558%,48.151672%,48.207651%,47.607648%,47.966352%,48.495060%,49.983707%,50.075540%,48.996763%
GP % of GB,Expedia CA,Not Applicable,Insurance,41.576270%,41.148509%,37.111297%,42.254955%,40.451213%,41.031483%,39.814246%,39.825153%,40.678910%,42.350322%,42.369416%,39.989476%
GP % of GB,Expedia CA,Merchant,Insurance,41.576270%,41.148509%,37.111297%,42.254955%,40.451213%,41.031483%,39.814246%,39.825153%,40.678910%,42.350322%,42.369416%,39.989476%
Revenue % of GB,Ebookers UK,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Ebookers UK,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Ebookers UK,Agency,Flight,5.067954%,5.229066%,4.801164%,4.071588%,4.289552%,5.017599%,4.659865%,4.001286%,4.717791%,4.018782%,3.806857%,4.564082%
